院校代码	院校名称	修改前网址	修改后网址
10016	北京建筑大学	https://idri.bucea.edu.cn/gatsw/gatxs/index.htm 或 https://zsb.bucea.edu.cn/ICSPOT	https://idri.bucea.edu.cn/gatsw/gatxs/index.htm或https://zsb.bucea.edu.cn/ICSPOT
10030	北京外国语大学	joinus.bfsu.edu.cn	https://joinus.bfsu.edu.cn
10031	北京第二外国语学院	www.bisu.edu.cn	https://www.bisu.edu.cn
10032	北京语言大学	zsb.blcu.edu.cn	https://zsb.blcu.edu.cn
10033	中国传媒大学	zhaosheng.cuc.edu.cn/	https://zhaosheng.cuc.edu.cn/
10034	中央财经大学	zs.cufe.edu.cn	https://zs.cufe.edu.cn
10036	对外经济贸易大学	www.uibe.edu.cn	https://www.uibe.edu.cn
10040	外交学院	zs.cfau.edu.cn	https://zs.cfau.edu.cn
10045	中央音乐学院	zhaoban.ccom.edu.cn	https://zhaoban.ccom.edu.cn
10051	北京舞蹈学院	www.bda.edu.cn	https://www.bda.edu.cn
10055	南开大学	zsb.nankai.edu.cn	https://zsb.nankai.edu.cn
10059	中国民航大学	www.cauc.edu.cn/zsb	https://www.cauc.edu.cn/zsb
10069	天津商业大学	www.tjcu.edu.cn	https://www.tjcu.edu.cn
10070	天津财经大学	www.tjufe.edu.cn	https://www.tjufe.edu.cn
10073	天津美术学院	www.tjarts.edu.cn	https://www.tjarts.edu.cn
10108	山西大学	www.sxu.edu.cn	https://www.sxu.edu.cn
10140	辽宁大学	www.lnu.edu.cn	https://www.lnu.edu.cn
10143	沈阳航空航天大学	www.sau.edu.cn	https://www.sau.edu.cn
10183	吉林大学	zsb.jlu.edu.cn	https://zsb.jlu.edu.cn
10246	复旦大学	www.ao.fudan.edu.cn	https://www.ao.fudan.edu.cn
10248	上海交通大学	http:// admissions.sjtu.edu.cn	http://admissions.sjtu.edu.cn
10279	上海戏剧学院	zs.sta.edu.cn	https://zs.sta.edu.cn
10285	苏州大学	www.suda.edu.cn	https://www.suda.edu.cn
10290	中国矿业大学	zs.cumt.edu.cn	https://zs.cumt.edu.cn
10312	南京医科大学	www.njmu.edu.cn	https://www.njmu.edu.cn
10315	南京中医药大学	www.njucm.edu.cn	https://www.njucm.edu.cn
10316	中国药科大学	www.cpu.edu.cn	https://www.cpu.edu.cn
10356	中国计量大学	zs.cjlu.edu.cn	https://zs.cjlu.edu.cn
10369	安徽中医药大学	www.ahtcm.edu.cn	https://www.ahtcm.edu.cn
10389	福建农林大学	www.fafu.edu.cn	https://www.fafu.edu.cn
10393	福建中医药大学	福建中医药大学海外教育学院  https://hwxy.fjtcm.edu.cn/	https://hwxy.fjtcm.edu.cn/
10394	福建师范大学	iccs.fjnu.edu.cn	https://iccs.fjnu.edu.cn
10399	泉州师范学院	www.qztc.edu.cn/zs	https://www.qztc.edu.cn/zs
10422	山东大学	www.bkzs.sdu.edu.cn	https://www.bkzs.sdu.edu.cn
10426	青岛科技大学	zs.qust.edu.cn	https://zs.qust.edu.cn
10466	河南农业大学	zs.henau.edu.cn	https://zs.henau.edu.cn
10486	武汉大学	aoff.whu.edu.cn	https://aoff.whu.edu.cn
10520	中南财经政法大学	www.zuel.edu.cn/	https://www.zuel.edu.cn/
10532	湖南大学	admi.hnu.edu.cn	https://admi.hnu.edu.cn
10559	暨南大学	zsb.jnu.edu.cn	https://zsb.jnu.edu.cn
10560	汕头大学	www.stu.edu.cn	https://www.stu.edu.cn
10576	韶关学院	学校官网：www.sgu.edu.cn　　　招生信息网：https://www.sgu.edu.cn/zsxxw/	https://www.sgu.edu.cn招生信息网https://www.sgu.edu.cn/zsxxw/
10593	广西大学	gjxy.gxu.edu.cn	https://gjxy.gxu.edu.cn
10596	桂林理工大学	www.glut.edu.cn	https://www.glut.edu.cn
10616	成都理工大学	www.cdut.edu.cn	https://www.cdut.edu.cn
10623	西华大学	www.xhu.edu.cn	https://www.xhu.edu.cn
10637	重庆师范大学	zsb.cqnu.edu.cn	https://zsb.cqnu.edu.cn
10678	昆明医科大学	www.kmmu.edu.cn	https://www.kmmu.edu.cn
10680	云南中医药大学	www.ynutcm.edu.cn	https://www.ynutcm.edu.cn
11035	沈阳大学	www.syu.edu.cn	https://www.syu.edu.cn
11047	上海立信会计金融学院	zsb.lixin.edu.cn	https://zsb.lixin.edu.cn
11057	浙江科技大学	www.zust.edu.cn	https://www.zust.edu.cn
11065	青岛大学	zs.qdu.edu.cn/	https://zs.qdu.edu.cn/
11117	扬州大学	www.yzu.edu.cn	https://www.yzu.edu.cn
11149	中华女子学院	www.cwu.edu.cn	https://www.cwu.edu.cn
11287	南京审计大学	www.nau.edu.cn	https://www.nau.edu.cn
11349	五邑大学	www.wyu.edu.cn/zsb/	https://www.wyu.edu.cn/zsb/
11726	长春大学	zsb.ccu.edu.cn	https://zsb.ccu.edu.cn
11819	东莞理工学院	www.dgut.edu.cn	https://www.dgut.edu.cn
16301	宁波诺丁汉大学	www.nottingham.edu.cn	https://www.nottingham.edu.cn
16404	上海纽约大学	www.shanghai.nyu.edu	https://www.shanghai.nyu.edu
